AreaName,PostalStreetName,Location,UnitNumber,ComponentDescription,ColumnName,Network,Northing,Easting
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,114,400W SON,Octagonal,UnderGround,228572.247,311150.161
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,115,400W SON,Octagonal,UnderGround,228556.635,311108.696
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,116,400W SON,Octagonal,UnderGround,228546.404,311163.078
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,117,400W SON,Octagonal,UnderGround,228532.943,311119.469
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,118,400W SON,Octagonal,UnderGround,228515.711,311177.62
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,119,400W SON,Octagonal,UnderGround,228504.399,311130.777
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,120,400W SON,Octagonal,UnderGround,228482.197,311194.248
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,121,400W SON,Octagonal,UnderGround,228475.156,311143.364
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,122,400W SON,Octagonal,UnderGround,228453.504,311208.328
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,123,400W SON,Octagonal,UnderGround,228444.843,311153.106
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,124,400W SON,Octagonal,UnderGround,228425.35,311221.319
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,125,400W SON,Octagonal,UnderGround,228412.899,311165.561
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,126,400W SON,Octagonal,UnderGround,228394.497,311235.935
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,127,400W SON,Octagonal,UnderGround,228376.085,311178.552
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Red Bridge,128,400W SON,Octagonal,UnderGround,228360.393,311234.311
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Red Bridge,129,400W SON,Octagonal,UnderGround,228343.061,311189.918
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Ped. Bridge,130,400W SON,Octagonal,UnderGround,228340.901,311264.087
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,132,400W SON,Octagonal,UnderGround,228322.489,311249.471
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,133,400W SON,Octagonal,UnderGround,228290.015,311208.864
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Slip Lane,134,400W SON,Octagonal,UnderGround,228310.588,311278.637
TALLAGHT-TYMON,M50 Redcow R/Bout-N81,Main Road,135,400W SON,Octagonal,UnderGround,228257.532,311218.004
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,136,400W SON,High Mast,UnderGround,228234.799,311285.137
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,137,400W SON,High Mast,UnderGround,228170.912,311259.146
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Slip Lane,138,400W SON,High Mast,UnderGround,228193.104,311324.119
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Main Road,139,400W SON,High Mast,UnderGround,228100.534,311278.101
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,Slip Lane,140,400W SON,High Mast,UnderGround,228125.437,311357.681
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,R/About,141,400W SON,High Mast,UnderGround,228018.785,311300.833
TEMPLEOGUE-OSPREY,M50 Redcow R/Bout-N81,R/About,142,400W SON,High Mast,UnderGround,228048.568,311356.601
LUCAN-ESKER,N4 Foxhunter-Newcastle Road,Slip Lane,1,180W SOX,Octagonal,UnderGround,235022.623,304656.565
LUCAN-ESKER,N4 Foxhunter-Newcastle Road,Slip Lane,2,180W SOX,Octagonal,UnderGround,235056.947,304626.97
LUCAN-ESKER,N4 Foxhunter-Newcastle Road,Ped. Bridge,3,180W SOX,Octagonal,UnderGround,234999.191,304625.073
LUCAN-ESKER,N4 Foxhunter-Newcastle Road,Bridge,4,180W SOX,Octagonal,UnderGround,235030.914,304600.46
LUCAN-ESKER,N4 Foxhunter-Newcastle Road,Ped. Bridge,5,180W SOX,Octagonal,UnderGround,234981.199,304601.639
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Slip Lane,6,180W SOX,Octagonal,UnderGround,235011.022,304577.966
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,7,180W SOX,Octagonal,UnderGround,234961.516,304576.515
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Sign,8,180W SOX,Octagonal,UnderGround,234988.299,304551.217
